"3.5","asyncio.BaseSubprocessTransport.get_pid"
"3.5","asyncio.BaseSubprocessTransport.get_pipe_transport"
"3.5","asyncio.BaseSubprocessTransport.get_returncode"
"3.5","asyncio.BaseSubprocessTransport.kill"
"3.5","asyncio.BaseSubprocessTransport.send_signal"
"3.5","asyncio.BaseSubprocessTransport.terminate"
"3.5","asyncio.BaseSubprocessTransport.close"
"3.5","asyncio.Protocol"
"3.5","asyncio.DatagramProtocol"
"3.5","asyncio.SubprocessProtocol"
"3.5","asyncio.BaseProtocol.connection_made"
"3.5","asyncio.BaseProtocol.connection_lost"
"3.5","asyncio.SubprocessProtocol.pipe_data_received"
"3.5","asyncio.SubprocessProtocol.pipe_connection_lost"
"3.5","asyncio.SubprocessProtocol.process_exited"
"3.5","asyncio.Protocol.data_received"
"3.5","asyncio.Protocol.eof_received"
"3.5","asyncio.DatagramProtocol.datagram_received"
"3.5","asyncio.DatagramProtocol.error_received"
"3.5","asyncio.BaseProtocol.pause_writing"
"3.5","asyncio.BaseProtocol.resume_writing"
"3.5","asyncio.Queue"
"3.5","asyncio.Queue.empty"
"3.5","asyncio.Queue.full"
"3.5","asyncio.Queue.get"
"3.5","asyncio.Queue.get_nowait"
"3.5","asyncio.Queue.join"
"3.5","asyncio.Queue.put"
"3.5","asyncio.Queue.put_nowait"
"3.5","asyncio.Queue.qsize"
"3.5","asyncio.Queue.task_done"
"3.5","asyncio.Queue.maxsize"
"3.5","asyncio.PriorityQueue"
"3.5","asyncio.LifoQueue"
"3.5","asyncio.QueueEmpty"
"3.5","asyncio.QueueFull"
"3.5","asyncio.open_connection"
"3.5","asyncio.start_server"
"3.5","asyncio.open_unix_connection"
"3.5","asyncio.start_unix_server"
"3.5","asyncio.StreamReader"
"3.5","asyncio.StreamReader.exception"
"3.5","asyncio.StreamReader.feed_eof"
"3.5","asyncio.StreamReader.feed_data"
"3.5","asyncio.StreamReader.set_exception"
"3.5","asyncio.StreamReader.set_transport"
"3.5","asyncio.StreamReader.read"
"3.5","asyncio.StreamReader.readline"
"3.5","asyncio.StreamReader.readexactly"
"3.5","asyncio.StreamReader.readuntil"
"3.5","asyncio.StreamReader.at_eof"
"3.5","asyncio.StreamWriter"
"3.5","asyncio.StreamWriter.transport"
"3.5","asyncio.StreamWriter.can_write_eof"
"3.5","asyncio.StreamWriter.close"
"3.5","asyncio.StreamWriter.drain"
"3.5","asyncio.StreamWriter.get_extra_info"
"3.5","asyncio.StreamWriter.write"
"3.5","asyncio.StreamWriter.writelines"
"3.5","asyncio.StreamWriter.write_eof"
"3.5","asyncio.StreamReaderProtocol"
"3.5","asyncio.IncompleteReadError"
"3.5","asyncio.IncompleteReadError.expected"
"3.5","asyncio.IncompleteReadError.partial"
"3.5","asyncio.LimitOverrunError"
"3.5","asyncio.LimitOverrunError.consumed"
"3.5","asyncio.create_subprocess_exec"
"3.5","asyncio.create_subprocess_shell"
"3.5","asyncio.AbstractEventLoop.subprocess_exec"
"3.5","asyncio.AbstractEventLoop.subprocess_shell"
"3.5","asyncio.asyncio.subprocess.PIPE"
"3.5","asyncio.asyncio.subprocess.STDOUT"
"3.5","asyncio.asyncio.subprocess.DEVNULL"
"3.5","asyncio.asyncio.subprocess.Process"
"3.5","asyncio.asyncio.subprocess.Process.wait"
"3.5","asyncio.asyncio.subprocess.Process.communicate"
"3.5","asyncio.asyncio.subprocess.Process.send_signal"
"3.5","asyncio.asyncio.subprocess.Process.terminate"
"3.5","asyncio.asyncio.subprocess.Process.kill"
"3.5","asyncio.asyncio.subprocess.Process.stdin"
"3.5","asyncio.asyncio.subprocess.Process.stdout"
"3.5","asyncio.asyncio.subprocess.Process.stderr"
"3.5","asyncio.asyncio.subprocess.Process.pid"
"3.5","asyncio.asyncio.subprocess.Process.returncode"
"3.5","asyncio.Lock"
"3.5","asyncio.Lock.locked"
"3.5","asyncio.Lock.acquire"
"3.5","asyncio.Lock.release"
"3.5","asyncio.Event"
"3.5","asyncio.Event.clear"
"3.5","asyncio.Event.is_set"
"3.5","asyncio.Event.set"
"3.5","asyncio.Event.wait"
"3.5","asyncio.Condition"
"3.5","asyncio.Condition.acquire"
"3.5","asyncio.Condition.notify"
"3.5","asyncio.Condition.locked"
"3.5","asyncio.Condition.notify_all"
"3.5","asyncio.Condition.release"
"3.5","asyncio.Condition.wait"
"3.5","asyncio.Condition.wait_for"
"3.5","asyncio.Semaphore"
"3.5","asyncio.Semaphore.acquire"
"3.5","asyncio.Semaphore.locked"
"3.5","asyncio.Semaphore.release"
"3.5","asyncio.BoundedSemaphore"
"3.5","asyncio.coroutine"
"3.5","asyncio.InvalidStateError"
"3.5","asyncio.TimeoutError"
"3.5","asyncio.Future"
"3.5","asyncio.Future.cancel"
"3.5","asyncio.Future.cancelled"
"3.5","asyncio.Future.done"
"3.5","asyncio.Future.result"
"3.5","asyncio.Future.exception"
"3.5","asyncio.Future.add_done_callback"
"3.5","asyncio.Future.remove_done_callback"
"3.5","asyncio.Future.set_result"
"3.5","asyncio.Future.set_exception"
"3.5","asyncio.Task"
"3.5","asyncio.Task.all_tasks"
"3.5","asyncio.Task.current_task"
"3.5","asyncio.Task.cancel"
"3.5","asyncio.Task.get_stack"
"3.5","asyncio.Task.print_stack"
"3.5","asyncio.as_completed"
"3.5","asyncio.ensure_future"
"3.5","asyncio.async"
"3.5","asyncio.gather"
"3.5","asyncio.iscoroutine"
"3.5","asyncio.iscoroutinefunction"
"3.5","asyncio.run_coroutine_threadsafe"
"3.5","asyncio.sleep"
"3.5","asyncio.shield"
"3.5","asyncio.wait"
"3.5","asyncio.wait_for"
"3.5","asyncore.loop"
"3.5","asyncore.dispatcher"
"3.5","asyncore.dispatcher.handle_read"
